Key:,"*Note, all dates UTC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booster lost,No Landing Attempt,Landing Failure,Compleaty Blew Up!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upcoming,Successful Land Landing,Successful ASDS Landing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core:,Booster Average,Flight -1,First Flight Date,Flight -2,Second Flight Date,Turn Around Time,Flight -3,Third Flight Date,Turn Around Time,Flight -4,Fourth Flight Date,Turn Around Time,Flight -5,Fifth Flight Date,Turn Around Time,Flight -6,Sixth Flight Date,Turn Around Time,Flight -7,Seventh Flight Date,Turn Around Time,Flight -8,Eight Flight Date,Turn Around Time,Flight -9,Ninth Flight Date,Turn Around Time,Flight -10,Tenth Flight date,Turn Around Time,Flight -11,Eleventh Flight Date,Turn Around Time,Flight -12,Twelfth Flight Date,Turn Around Time,Flight -13,Thirteenth Flight Date,Turn Around Time,Flight -14,Fourteenth Flight Date,Turn Around Time,Flight -15,Fifteenth Flight Date,Turn Around Time,Flight -16,Sixteenth Flight Date,Turn Around Time,Flight -17,Seventeenth Flight Date,Turn Around Time,Flight -18,Eighteenth Flight Date,Turn Around Time,Flight -19,Nineteenth Flight Date,Turn Around Time
,3rd Flight,182.87,307.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4th Flight,94.52,87.75,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5th Flight,76.94,32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6th Flight,57.86,15.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7th Flight,47.22,18.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8th Flight,61.91,49.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9th Flight,68.27,48.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10th Flight,61.01,61.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11th Flight,100.00,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12th Flight,50.54,50.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13th Flight,57.11,25.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14th Flight,67.40,40.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15th Flight,-5615.52,16070.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16th Flight,108.47,71.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17th Flight,52.60,14.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18th Flight,-5628.56,16054.86619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19th Flight,43.46238426,5.47291323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
